film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
20:00,Jesper Just,No Man Is an Island (2002),3′,Just-Jesper_No-Man-Is-An-Island_2002.mp4,https://player.vimeo.com/video/133710039,http://ubuvideo.memoryoftheworld.org/Just-Jesper_No-Man-Is-An-Island_2002.mp4
20:03,Stan VanDerBeek,,9′,vanderbeek_stan_sciencefriction1959.mp4,https://player.vimeo.com/video/132274947,http://ubuvideo.memoryoftheworld.org/vanderbeek_stan_sciencefriction1959.mp4
20:13,Serkan Ozkaya,"A Sudden Gust of Wind, 2007–2013",1′,Ozkaya-Serkan_The-Making-of-Serkan-Ozkayas-A-Sudden-Gust-2009.mp4,https://player.vimeo.com/video/242866565,http://ubuvideo.memoryoftheworld.org/Ozkaya-Serkan_The-Making-of-Serkan-Ozkayas-A-Sudden-Gust-2009.mp4
20:15,Adrian Bridget,And I Danced To Make A Man Again (2016),7′,Bridget-Adrian_And-I-Danced.mp4,https://player.vimeo.com/video/177858480,http://ubuvideo.memoryoftheworld.org/Bridget-Adrian_And-I-Danced.mp4
20:22,Michael Smith,QuinQuag (2001-2002),7′,Smith-Michael-White-Joshua_Quinquag_2001-2.mp4,https://player.vimeo.com/video/131761719,http://ubuvideo.memoryoftheworld.org/Smith-Michael-White-Joshua_Quinquag_2001-2.mp4
20:30,Carly Mark,,4′,Mark-Carly_GOOD-BUY-HUMAN.mp4,https://player.vimeo.com/video/190891589,http://ubuvideo.memoryoftheworld.org/Mark-Carly_GOOD-BUY-HUMAN.mp4
20:35,Stewart Home,TV Freak (1986),2′,Home-Stewart_TV-Freak_1986.iphone.m4v,https://player.vimeo.com/video/134069743,http://ubuvideo.memoryoftheworld.org/Home-Stewart_TV-Freak_1986.iphone.m4v
20:37,Assume Vivid Astro Focus,,1′,AVAF_always-vomit-after-formalities.m4v,https://player.vimeo.com/video/133443144,http://ubuvideo.memoryoftheworld.org/AVAF_always-vomit-after-formalities.m4v
20:39,Charles Simonds,Landscape <--> Body <--> Dwelling (1973),7′,Simmonds-Charles_LandscapeBodyDwelling.mp4,https://player.vimeo.com/video/131734346,http://ubuvideo.memoryoftheworld.org/Simmonds-Charles_LandscapeBodyDwelling.mp4
20:46,Shelly Silver,We (1990),4′,Silver_Shelly_WE_1990.iphone.m4v,https://player.vimeo.com/video/135113118,http://ubuvideo.memoryoftheworld.org/Silver_Shelly_WE_1990.iphone.m4v
20:50,Dominic Angerame,Battle Stations--A Navel Adventure (2002),5′,Angerame-Dominic_Battle-Stations-Best.mov,https://player.vimeo.com/video/242869844,http://ubuvideo.memoryoftheworld.org/Angerame-Dominic_Battle-Stations-Best.mov
20:56,Marcel Broodthaers,La Pluie (Projet pour un texte) [1973],2′,Broodthaers-Marcel_La-Pluie_1969.mp4,https://player.vimeo.com/video/133446479,http://ubuvideo.memoryoftheworld.org/Broodthaers-Marcel_La-Pluie_1969.mp4
20:58,Deimantas Narkevicius,The Role of a Lifetime (2003),16′,Narkevicius-Deimantas_TheRoleOfALifeTime_2003.mp4,https://player.vimeo.com/video/128609005,http://ubuvideo.memoryoftheworld.org/Narkevicius-Deimantas_TheRoleOfALifeTime_2003.mp4
21:15,Otto Muehl,Investmentfonds  (1970),12′,Meuhl_Investment_1970.mov,https://player.vimeo.com/video/128213282,http://ubuvideo.memoryoftheworld.org/Meuhl_Investment_1970.mov
21:28,Lorna Simpson,Corridor (2003),7′,Simpson-Lorna_Corridor-Composite.mp4,https://player.vimeo.com/video/135807871,http://ubuvideo.memoryoftheworld.org/Simpson-Lorna_Corridor-Composite.mp4
21:35,VALIE EXPORT,Syntagma (1983),17′,VALIE-EXPORT_Syntagma_1983.mp4,https://player.vimeo.com/video/132273292,http://ubuvideo.memoryoftheworld.org/VALIE-EXPORT_Syntagma_1983.mp4
21:52,Beth B,Belladonna with Ida Applebroog (1989),12′,B-Beth_Applebroog_Belladonna_1989.mp4,https://player.vimeo.com/video/122701926,http://ubuvideo.memoryoftheworld.org/B-Beth_Applebroog_Belladonna_1989.mp4
22:04,Takeshi Murata,Untitled (Pink Dot) (2007),5′,Murata-Takeshi_Pink-Dot_2007.mp4,https://player.vimeo.com/video/128601268,http://ubuvideo.memoryoftheworld.org/Murata-Takeshi_Pink-Dot_2007.mp4
22:09,People Like Us (Vicki Bennett),Free Rod MckMoon from Consequences (One Thing Leads To Another) (2013),8′,People-Like-Us_MckMoon_2013.mp4,https://player.vimeo.com/video/135109465,http://ubuvideo.memoryoftheworld.org/People-Like-Us_MckMoon_2013.mp4
22:18,Trisha Brown,Watermotor (1978),7′,Brown-Trisha_Watermotor_1978.m4v,https://player.vimeo.com/video/124831581,http://ubuvideo.memoryoftheworld.org/Brown-Trisha_Watermotor_1978.m4v
22:26,Eduardo Kac,"Reabracadabra, 1985",49″,Kac.Reabracadabra.digitalpoem.1985.iphone.m4v,https://player.vimeo.com/video/126879905,http://ubuvideo.memoryoftheworld.org/Kac.Reabracadabra.digitalpoem.1985.iphone.m4v
22:26,Bruce Conner,Mea Culpa (1981),5′,Conner-Bruce_Mea-Culpa_1981.mp4,https://player.vimeo.com/video/124113484,http://ubuvideo.memoryoftheworld.org/Conner-Bruce_Mea-Culpa_1981.mp4
22:32,Igor and Gleb Aleinikov,Revolutionary Sketch (1987),7′,Alejnikov-Igor-and-Gleb_Revolutionary-Sketch_1987.mp4,https://player.vimeo.com/video/122477079,http://ubuvideo.memoryoftheworld.org/Alejnikov-Igor-and-Gleb_Revolutionary-Sketch_1987.mp4
22:39,Allen Ginsberg,Ballad of the Skeletons (1997),5′,Ginsberg-Allen_Ballad-of-the-Skeletons_1997.mp4,https://player.vimeo.com/video/125828236,http://ubuvideo.memoryoftheworld.org/Ginsberg-Allen_Ballad-of-the-Skeletons_1997.mp4
22:44,Jem Finer,Landscope (2005),7′,Finer_Jem_Landscope_2005.mp4,https://player.vimeo.com/video/134066469,http://ubuvideo.memoryoftheworld.org/Finer_Jem_Landscope_2005.mp4
22:51,Peggy Ahwesh,Martina's Playhouse  (1989),19′,Ahwesh-Peggy_martinas_playhouse.mp4,https://player.vimeo.com/video/122474487,http://ubuvideo.memoryoftheworld.org/Ahwesh-Peggy_martinas_playhouse.mp4
23:11,Anna Molska,OWOW11 (2007),9′,Molska-Anna_OWOW-11_2007.mp4,https://player.vimeo.com/video/128557195,http://ubuvideo.memoryoftheworld.org/Molska-Anna_OWOW-11_2007.mp4
23:20,Dominic Angerame,Consume (2003),12′,Angerame-Dominic_Consume.mp4,https://player.vimeo.com/video/242870067,http://ubuvideo.memoryoftheworld.org/Angerame-Dominic_Consume.mp4
