film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
20:00,Karen Kilimnik,Kate Moss at the Beginning (undated),6′,Kilimnik-Karen_KateMoss.m4v,https://player.vimeo.com/video/134071065,http://ubuvideo.memoryoftheworld.org/Kilimnik-Karen_KateMoss.m4v
20:06,Jean Painleve,,5′,Painleve-Jean_Transition-de-phase-dans-les-cristaux-liquides.avi,https://player.vimeo.com/video/129101676,http://ubuvideo.memoryoftheworld.org/Painleve-Jean_Transition-de-phase-dans-les-cristaux-liquides.avi
20:12,Hollis Frampton,Gloria! (1979),9′,Frampton-Hollis_Gloria_1979.mp4,https://player.vimeo.com/video/125335776,http://ubuvideo.memoryoftheworld.org/Frampton-Hollis_Gloria_1979.mp4
20:22,Seth Price,Tale of the Skull (2000),3′,Price-Seth_Tale-of-the-Skull_2000.mp4,https://player.vimeo.com/video/129265413,http://ubuvideo.memoryoftheworld.org/Price-Seth_Tale-of-the-Skull_2000.mp4
20:26,Jordan Wolfson,Basics (2008),10′,Wolfson_Jordan_Basics_2008.iphone.m4v,https://player.vimeo.com/video/122661168,http://ubuvideo.memoryoftheworld.org/Wolfson_Jordan_Basics_2008.iphone.m4v
20:37,Dara Birnbaum,&#8220;Damnation of Faust&#8221; (1983),2′,7Kitchen_Dara-Birnbaum_Faust.mp4,https://player.vimeo.com/video/133726438,http://ubuvideo.memoryoftheworld.org/7Kitchen_Dara-Birnbaum_Faust.mp4
20:39,Kurt Kren,1975 - 3175 Asyl (3175 Asylum),8′,Kren-Kurt_1975_31-75_Asyl.mp4,https://player.vimeo.com/video/126884920,http://ubuvideo.memoryoftheworld.org/Kren-Kurt_1975_31-75_Asyl.mp4
20:47,Bruce Conner,America is Waiting (1982),3′,Conner-Bruce_America-is-Waiting_1982.mp4,https://player.vimeo.com/video/124113239,http://ubuvideo.memoryoftheworld.org/Conner-Bruce_America-is-Waiting_1982.mp4
20:51,Joseph Cornell,By Night with Torch and Spear (1942),7′,Cornell-Joseph_By_night_with_torch_and_spear_1942.mp4,https://player.vimeo.com/video/124372682,http://ubuvideo.memoryoftheworld.org/Cornell-Joseph_By_night_with_torch_and_spear_1942.mp4
20:59,Carrie Mae Weems,"The Fall, from Constructing History: A Requiem to Mark the Moment (2008)",3′,Weems_Carrie-May_requiem-the-fall.mov,https://player.vimeo.com/video/122206903,http://ubuvideo.memoryoftheworld.org/Weems_Carrie-May_requiem-the-fall.mov
21:02,Hermann Nitsch,Maria - Conception - Action - Hermann Nitsch (1969),7′,Sommer-Ed_Sommer-Ern_Maria-Conception-Action-Hermann-Nitsch_1969.mp4,https://player.vimeo.com/video/131764287,http://ubuvideo.memoryoftheworld.org/Sommer-Ed_Sommer-Ern_Maria-Conception-Action-Hermann-Nitsch_1969.mp4
21:09,Giselle Beiguelman,Cinema Lascado (Chipped Movie): Minhocão (Paleoweb + post-cinema) (2010),4′,beiguelman_giselle_cinema_lascado_single_channel_2011.mp4,https://player.vimeo.com/video/133731061,http://ubuvideo.memoryoftheworld.org/beiguelman_giselle_cinema_lascado_single_channel_2011.mp4
21:13,Jesper Just,Some Draughty Window (2007),7′,Just-Jesper_Some-Draughty-Window_2007.iphone.m4v,https://player.vimeo.com/video/134070718,http://ubuvideo.memoryoftheworld.org/Just-Jesper_Some-Draughty-Window_2007.iphone.m4v
21:21,Liam Gillick,Underground (Trailer for a Book) (2004),6′,Gillick-Liam_Underground-Trailer-for-a-Book.mp4,https://player.vimeo.com/video/134068058,http://ubuvideo.memoryoftheworld.org/Gillick-Liam_Underground-Trailer-for-a-Book.mp4
21:28,David Hammons,"A Look at David Hammons (undated), Directed by Alex Harsley",11′,Hammons-David_A-Look-At.mp4,https://player.vimeo.com/video/160047158,http://ubuvideo.memoryoftheworld.org/Hammons-David_A-Look-At.mp4
21:39,Marie Menken,Notebook (1963),10′,Menken-Marie_Notebook.mp4,https://player.vimeo.com/video/128212414,http://ubuvideo.memoryoftheworld.org/Menken-Marie_Notebook.mp4
21:50,Alexander Kluge,"Besitzbürgerin, Jahrgang 1908 (A Woman from the Property-owning Middle Class, Born 1908) (1972)",11′,Kluge-Alexander_Besitzburgerin-Jahrgang-1908_1973.mp4,https://player.vimeo.com/video/126883981,http://ubuvideo.memoryoftheworld.org/Kluge-Alexander_Besitzburgerin-Jahrgang-1908_1973.mp4
22:01,Cheryl Donegan,I Still Want to Drown (2010),3′,Donegan-Cheryl_Drown.m4v,https://player.vimeo.com/video/124216686,http://ubuvideo.memoryoftheworld.org/Donegan-Cheryl_Drown.m4v
22:04,Sam Taylor-Wood,Still Life (2001),3′,Taylor-Wood-Sam_StillLife_2001.mp4,https://player.vimeo.com/video/131793111,http://ubuvideo.memoryoftheworld.org/Taylor-Wood-Sam_StillLife_2001.mp4
22:08,Robert Breer,Recreation (1956-57),1′,Breer-Robert_Recreation_1956-57.mp4,https://player.vimeo.com/video/123576117,http://ubuvideo.memoryoftheworld.org/Breer-Robert_Recreation_1956-57.mp4
22:09,Kurt Kren,1965 - 10b65 Silber - Aktion Brus (Silver Action Brus),2′,Kren-Kurt_1965_10b-65_Silber_aktion-brus.mp4,https://player.vimeo.com/video/126884753,http://ubuvideo.memoryoftheworld.org/Kren-Kurt_1965_10b-65_Silber_aktion-brus.mp4
22:11,Thomas Bayrle,Sunbeam  (1994),11′,Bayrle-Thomas_Untitled.mp4,https://player.vimeo.com/video/237683781,http://ubuvideo.memoryoftheworld.org/Bayrle-Thomas_Untitled.mp4
22:22,Eduardo Kac,"Accident, 1994",11″,Kac.Accident.digitalpoem.1994.iphone.m4v,https://player.vimeo.com/video/126879878,http://ubuvideo.memoryoftheworld.org/Kac.Accident.digitalpoem.1994.iphone.m4v
22:22,Howardena Pindell,"Free, White and 21 (1980)",12′,Pindell-Howardena_Free-White-21_1980.iphone.m4v,https://player.vimeo.com/video/135110868,http://ubuvideo.memoryoftheworld.org/Pindell-Howardena_Free-White-21_1980.iphone.m4v
