film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
00:00,Philippe Parreno,"Anywhere, Anywhere Out of the World (2013)",3′,Parreno-Philippe_AnywhereOutOfTheWorld_2000.mp4,https://player.vimeo.com/video/129107826,http://ubuvideo.memoryoftheworld.org/Parreno-Philippe_AnywhereOutOfTheWorld_2000.mp4
00:03,Mark Leckey,"3 minute wonder [Turner Prize 2008 : Runa Islam, Mark Leckey , Goshka Macuga, Cathy Wilkes].",3′,Leckey-Mark_3-Minute-Wonder.mp4,https://player.vimeo.com/video/160385509,http://ubuvideo.memoryoftheworld.org/Leckey-Mark_3-Minute-Wonder.mp4
00:06,Toshio Matsumoto,Metastasis (1971),8′,Toshio.Matsumoto.-.Experimental.film.works.-.2.3.-.Metastasis.1971.mp4,https://player.vimeo.com/video/132250525,http://ubuvideo.memoryoftheworld.org/Toshio.Matsumoto.-.Experimental.film.works.-.2.3.-.Metastasis.1971.mp4
00:15,Rirkrit Tiravanija,Timo and Eva by the Rhine (2000),8′,Tiravanija-Rirkrit_2000_Timo-and-Eva-by-the-Rhine.mp4,https://player.vimeo.com/video/236642951,http://ubuvideo.memoryoftheworld.org/Tiravanija-Rirkrit_2000_Timo-and-Eva-by-the-Rhine.mp4
00:23,Shelly Silver,Things I Forget to Tell Myself (1989),1′,Silver_Shelly_Things_I_Forget_To_Tell_Myself_1989.iphone.m4v,https://player.vimeo.com/video/135113104,http://ubuvideo.memoryoftheworld.org/Silver_Shelly_Things_I_Forget_To_Tell_Myself_1989.iphone.m4v
00:25,Guy de Cointet,My Father's Diary (1975),11′,Cointet-Guy-de_My-Fathers-Diary_1975.mp4,https://player.vimeo.com/video/175899375,http://ubuvideo.memoryoftheworld.org/Cointet-Guy-de_My-Fathers-Diary_1975.mp4
00:37,John Pilson,St. Denis (2003),13′,Pilson-John_St-Denis_2003.mp4,https://player.vimeo.com/video/135110812,http://ubuvideo.memoryoftheworld.org/Pilson-John_St-Denis_2003.mp4
00:50,Artavazd Peleshian,Inhabitants (1970),6′,Peleshian_Artavazd_Inhabitants_1970.mp4,https://player.vimeo.com/video/129111899,http://ubuvideo.memoryoftheworld.org/Artavazd_Peleshian/Peleshian_Artavazd_Inhabitants_1970.mp4
00:56,Charles Simonds,Landscape <--> Body <--> Dwelling (1973),7′,Simmonds-Charles_LandscapeBodyDwelling.mp4,https://player.vimeo.com/video/131734346,http://ubuvideo.memoryoftheworld.org/Simmonds-Charles_LandscapeBodyDwelling.mp4
01:04,Kiki Smith,Jewel (excerpt),3′,Smith-Kiki_Jewel-Excerpt_1997.mp4,https://player.vimeo.com/video/131761509,http://ubuvideo.memoryoftheworld.org/Smith-Kiki_Jewel-Excerpt_1997.mp4
01:07,Takeshi Murata,Silver (2006),10′,Murata_Takeshi_Silver_2006.mp4,https://player.vimeo.com/video/128601268,http://ubuvideo.memoryoftheworld.org/Murata_Takeshi_Silver_2006.mp4
01:17,Claude Closky,Flow (2002-2004),17′,Closky-Claude_Flow.mp4,https://player.vimeo.com/video/211587729,http://ubuvideo.memoryoftheworld.org/Closky-Claude_Flow.mp4
01:35,Eija-Liisa Ahtila,Me/We (1993),1′,Ahtilla-Eija-Liisa_Me-WeOKGray01_1993.mp4,,http://ubuvideo.memoryoftheworld.org/Ahtilla-Eija-Liisa_Me-WeOKGray01_1993.mp4
01:36,György Ligeti,,8′,Ligeti-Gyorgy_Poeme-Symphonique-For-100-Metronomes.mp4,https://player.vimeo.com/video/127784743,http://ubuvideo.memoryoftheworld.org/Ligeti-Gyorgy_Poeme-Symphonique-For-100-Metronomes.mp4
01:44,Camille Henrot,Deep Inside (2005),6′,Henrot-Camille_Deep-Inside-2005.mp4,https://player.vimeo.com/video/134068877,http://ubuvideo.memoryoftheworld.org/Henrot-Camille_Deep-Inside-2005.mp4
01:51,Sterling Ruby,Dihedral (2006),8′,Ruby-Sterling_DIHEDRAL-2006-.m4v,https://player.vimeo.com/video/233052206,http://ubuvideo.memoryoftheworld.org/Ruby-Sterling_DIHEDRAL-2006-.m4v
01:59,Bill Brand,Zip Tone Cat Tune (1972),5′,Brand-Bill_Zip-Tone-Cat- Tune_1972.mp4,https://player.vimeo.com/video/123575840,http://ubuvideo.memoryoftheworld.org/Brand-Bill_Zip-Tone-Cat- Tune_1972.mp4
02:05,Rainer Ganahl,Wo jiao Yu Ren (2009),3′,Ganahl-RainerWoJiaoRainer.mp4,https://player.vimeo.com/video/134067714,http://ubuvideo.memoryoftheworld.org/Ganahl-RainerWoJiaoRainer.mp4
02:08,Seth Price,N.Y. Sorrow (2001),3′,Price-Seth_NY-Sorrow_2001.mp4,https://player.vimeo.com/video/129265413,http://ubuvideo.memoryoftheworld.org/Price-Seth_NY-Sorrow_2001.mp4
02:12,Joan Jonas,Organic Honey's Visual Telepathy (1972),17′,Jonas-Joan_Organic-Honeys-Visual-Telepathy.mp4,https://player.vimeo.com/video/126879316,http://ubuvideo.memoryoftheworld.org/Jonas-Joan_Organic-Honeys-Visual-Telepathy.mp4
02:29,Kurt Kren,1967 - 1667 20. September,6′,Kren-Kurt_1967_16-67_20-September.mp4,https://player.vimeo.com/video/126884871,http://ubuvideo.memoryoftheworld.org/Kren-Kurt_1967_16-67_20-September.mp4
02:36,Kurt Kren,1965 - 1065 Selbstverstümmelung (1065 Self-Mutilation),5′,Kren-Kurt_1965_10-65_Selbstverstummelung.mp4,https://player.vimeo.com/video/126884747,http://ubuvideo.memoryoftheworld.org/Kren-Kurt_1965_10-65_Selbstverstummelung.mp4
02:41,Shahryar Nashat,Plaque (Slab) (2007),6′,NASHAT_SHAHRYAR_PLAQUE.mp4,https://player.vimeo.com/video/134120874,http://ubuvideo.memoryoftheworld.org/NASHAT_SHAHRYAR_PLAQUE.mp4
02:48,Rirkrit Tiravanija,Delta (2003),2′,Tiravanija-Rirkrit_2003_Delta_2K.mp4,https://player.vimeo.com/video/236642812,http://ubuvideo.memoryoftheworld.org/Tiravanija-Rirkrit_2003_Delta_2K.mp4
02:51,Fatboy Slim,Weapon of Choice (2001),3′,Fatboy-Slim_Weapon-of-Choice_2001.mp4,https://player.vimeo.com/video/124840396,http://ubuvideo.memoryoftheworld.org/Fatboy-Slim_Weapon-of-Choice_2001.mp4
02:55,Pipilotti Rist,Entslastlungen AKA Pipilolottis Fehler (1988),11′,Rist-Pipilotti_Entslastlungen-Pipilolottti-Fehler_1988.m4v,https://player.vimeo.com/video/135111549,http://ubuvideo.memoryoftheworld.org/Rist-Pipilotti_Entslastlungen-Pipilolottti-Fehler_1988.m4v
